
看电视,#genre#
河南卫视,http://221.213.70.18:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://221.213.70.18:9901/tsfile/live/0139_2.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://221.213.70.18:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://221.213.70.18:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://221.213.70.18:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://221.213.70.18:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://221.213.70.18:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://221.213.70.18:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://221.213.70.18:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://182.150.31.58:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6电影,http://111.8.242.84:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-10科教,http://111.8.242.84:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-11戏曲,http://111.8.242.84:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-12社法,http://111.8.242.84:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-13新闻,http://111.8.242.84:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://111.8.242.84:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://111.8.242.84:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://111.8.242.84:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://111.8.242.84:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://111.8.242.84:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&down=1
黑龙江卫视,http://111.8.242.84:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://111.8.242.84:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&down=1
上海卫视,http://111.8.242.84:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://111.8.242.84:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&down=1
福建卫视,http://111.8.242.84:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://111.8.242.84:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://111.8.242.84:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://111.8.242.84:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-1综合,http://113.135.194.13:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://113.135.194.13:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://113.135.194.13:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://113.135.194.13:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://113.135.194.13:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://113.135.194.13:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://113.135.194.13:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://113.135.194.13:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://113.135.194.13:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.135.194.13:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://221.213.70.18:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2财经,http://221.213.70.18:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://221.213.70.18:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4国际,http://221.213.70.18:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://221.213.70.18:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://221.213.70.18:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7军事,http://221.213.70.18:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视,http://221.213.70.18:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9纪录,http://221.213.70.18:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10科教,http://221.213.70.18:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11戏曲,http://221.213.70.18:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12社法,http://221.213.70.18:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://221.213.70.18:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2财经,http://112.17.52.85/PLTV/88888888/224/3221233718/index.m3u8
CCTV-8电视,http://112.17.52.85/PLTV/88888888/224/3221233721/index.m3u8
CCTV-9纪录,http://112.17.52.85/PLTV/88888888/224/3221233706/index.m3u8
CCTV-11戏曲,http://112.17.52.85/PLTV/88888888/224/3221233733/index.m3u8
CCTV-14少儿,http://112.17.52.85/PLTV/88888888/224/3221233698/index.m3u8
云南卫视,http://221.213.70.18:9901/tsfile/live/0019_1.m3u8?=TG@YYDSyouzai=key=txiptv&playlive=1&authid=0=TG@YYDSyouzai$通联南云
北京卫视,http://112.17.52.85/PLTV/88888888/224/3221233730/index.m3u8
山东卫视,http://112.17.52.85/PLTV/88888888/224/3221233641/index.m3u8
湖北卫视,http://112.17.52.85/PLTV/88888888/224/3221233668/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
CCTV-14少儿,http://221.213.70.18:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15音乐,http://221.213.70.18:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://221.213.70.18:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://221.213.70.18:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://221.213.70.18:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://221.213.70.18:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://221.213.70.18:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://221.213.70.18:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://221.213.70.18:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://221.213.70.18:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://221.213.70.18:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://221.213.70.18:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://221.213.70.18:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://221.213.70.18:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://221.213.70.18:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
福建卫视,http://221.213.70.18:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://221.213.70.18:9901/tsfile/live/0138_2.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://221.213.70.18:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://221.213.70.18:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://221.213.70.18:9901/tsfile/live/0139_2.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://221.213.70.18:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://221.213.70.18:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://221.213.70.18:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://221.213.70.18:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://221.213.70.18:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://221.213.70.18:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://221.213.70.18:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://221.213.70.18:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://182.150.31.58:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视,http://182.150.31.58:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://182.150.31.58:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社法,http://182.150.31.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://182.150.31.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://182.150.31.58:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://182.150.31.58:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://182.150.31.58:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://182.150.31.58:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
福建卫视,http://182.150.31.58:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://182.150.31.58:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://182.150.31.58:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://182.150.31.58:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://182.150.31.58:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://182.150.31.58:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://182.150.31.58:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://182.150.31.58:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://182.150.31.58:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://182.150.31.58:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://182.150.31.58:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://182.150.31.58:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://182.150.31.58:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://182.150.31.58:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://112.99.200.2:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://112.99.200.2:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4国际,http://112.99.200.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7军事,http://112.99.200.2:9901/tsfile/live/0007_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视,http://112.99.200.2:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13新闻,http://112.99.200.2:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://112.99.200.2:9901/tsfile/live/0125_2.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://112.99.200.2:9901/tsfile/live/0116_2.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://112.99.200.2:9901/tsfile/live/0119_2.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://112.99.200.2:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
福建卫视,http://112.99.200.2:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://112.99.200.2:9901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://112.99.200.2:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://112.99.200.2:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://112.99.200.2:9901/tsfile/live/0121_2.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://112.99.200.2:9901/tsfile/live/0127_2.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://112.99.200.2:9901/tsfile/live/0124_2.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://112.99.200.2:9901/tsfile/live/0118_2.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://112.99.200.2:9901/tsfile/live/0136_2.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://112.99.200.2:9901/tsfile/live/0123_2.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://112.99.200.2:9901/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://112.99.200.2:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://112.99.200.2:9901/tsfile/live/0117_2.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://112.99.200.2:9901/tsfile/live/0126_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5体育,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8$路线西陕
CCTV-5体育,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8$路线西陕
CCTV-16奥匹,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8$路线西陕
CCTV-5体育,http://221.213.70.18:9901/tsfile/live/0005_1.m3u8?=TG@YYDSyouzai=key=txiptv&playlive=1&authid=0=TG@YYDSyouzai$通联南云
CCTV-5体育,http://182.107.188.104:8888/newlive/live/hls/6/live.m3u8?key=txiptv&playlive=0&authid=0$信电西江
CCTV-5体育,http://182.107.188.104:8888/newlive/live/hls/7/live.m3u8?key=txiptv&playlive=0&authid=0$信电西江
CCTV-5体育,http://113.26.202.86:1099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$信电西山
CCTV-5体育,http://113.26.202.86:1099/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$信电西山
CCTV-5体育,http://60.174.40.117:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$信电州池
安徽卫视,http://221.213.70.18:9901/tsfile/live/0126_1.m3u8?=TG@YYDSyouzai=key=txiptv&playlive=1&authid=0=TG@YYDSyouzai$通联南云
安徽卫视,http://60.174.137.146:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$信电山含
安徽卫视,http://60.174.40.117:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$信电州池
安徽卫视,http://220.180.229.250:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$信电湖巢
CCTV-1综合,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8$路线西陕
CCTV-2财经,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8$路线西陕
CCTV-3综艺,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8$路线西陕
CCTV-4国际,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8$路线西陕
CCTV-6电影,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8$路线西陕
CCTV-7军事,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8$路线西陕
CCTV-8电视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8$路线西陕
CCTV-13新闻,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8$路线西陕
CCTV-14少儿,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8$路线西陕






看剧集,#genre#

桥,http://kantv.255520.xyz/TV/Film/1969_qiao.m3u8
包氏父子,http://kantv.255520.xyz/TV/Film/1983_baoshifuzi.m3u8
大决战之淮海战役,http://kantv.255520.xyz/TV/Film/1991_dajuezhanzhihuaihaizhanyi.m3u8
大话西游之月光宝盒,http://kantv.255520.xyz/TV/Film/1995_dahuaxiyouzhiyueguangbaohe.m3u8
举起手来,http://kantv.255520.xyz/TV/Film/2003_juqishoulai.m3u8
立春,http://kantv.255520.xyz/TV/Film/2007_lichun.m3u8
色戒,http://kantv.255520.xyz/TV/Film/2007_sejie.m3u8
司令阿根,http://kantv.255520.xyz/TV/Film/2007_silingagen.m3u8
武僧,http://kantv.255520.xyz/TV/Film/2007_wuseng.m3u8
遥望南方的童年,http://kantv.255520.xyz/TV/Film/2007_yaowangnanfangdetongnian.m3u8
超强台风2008,http://kantv.255520.xyz/TV/Film/2008_chaoqiangtaifeng.m3u8
非诚勿扰,http://kantv.255520.xyz/TV/Film/2008_feichengwurao.m3u8
狂蟒惊魂,http://kantv.255520.xyz/TV/Film/2008_kuangmangjinghun.m3u8
梅兰芳,http://kantv.255520.xyz/TV/Film/2008_meilanfang.m3u8
秘岸,http://kantv.255520.xyz/TV/Film/2008_mian.m3u8
斗牛,http://kantv.255520.xyz/TV/Film/2009_douniu.m3u8
花木兰2009,http://kantv.255520.xyz/TV/Film/2009_huamulan.m3u8
南京南京,http://kantv.255520.xyz/TV/Film/2009_nanjingnanjing.m3u8
三枪拍案惊奇,http://kantv.255520.xyz/TV/Film/2009_sanqiangpaianjingqi.m3u8
袁隆平,http://kantv.255520.xyz/TV/Film/2009_yuanlongping.m3u8
走路上学,http://kantv.255520.xyz/TV/Film/2009_zoulushangxue.m3u8
非诚勿扰2,http://kantv.255520.xyz/TV/Film/2010_feichengwurao.m3u8
裸山,http://kantv.255520.xyz/TV/Film/2010_luoshan.m3u8
人在囧途,http://kantv.255520.xyz/TV/Film/2010_renzaitu.m3u8
唐山大地震,http://kantv.255520.xyz/TV/Film/2010_tangshandadizhen.m3u8
血染北沙河,http://kantv.255520.xyz/TV/Film/2010_xieranbeishahe.m3u8
我不是药神,http://kantv.255520.xyz/TV/Film/2018_wobushiyaoshen.m3u8
误杀,http://kantv.255520.xyz/TV/Film/2019_wusha.m3u8
我和我的家乡,http://kantv.255520.xyz/TV/Film/2020_wohewodejiaxiang.m3u8
隐入尘烟,http://kantv.255520.xyz/TV/Film/2022_yinruchenyan.m3u8
人生路不熟,http://kantv.255520.xyz/TV/Film/2023_renshenglubushu.m3u8
三大队电影版,http://kantv.255520.xyz/TV/Film/2023_sandaduidianyingban.m3u8
中国乒乓之绝地反击,http://kantv.255520.xyz/TV/Film/2023_zhongguopingpangzhijuedifanji.m3u8





























康熙微服私访记,https://live.metshop.top/yy/1352811698
宰相刘罗锅,https://live.metshop.top/yy/1353892468
父母爱情,https://live.metshop.top/yy/1354926650
正阳门下,https://live.metshop.top/yy/1354931580

蹉跎岁月,http://kantv.255520.xyz/dm/cuotuosuiyue.m3u8

新三国,https://live.metshop.top/yy/1382705738
神医喜来乐,https://live.metshop.top/yy/1382714119
康熙王朝,https://live.metshop.top/yy/1382736818
金婚,https://live.metshop.top/yy/1382736832
