新聞,#genre#
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=298QROP4xe0
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
Radio Hits Music,https://www.youtube.com/watch?v=uNd5kvrGHjk
愛爾達綜合台,https://www.youtube.com/watch?v=Ul9z5eUphFY
愛爾達綜合台,https://www.youtube.com/watch?v=I7yYOp7Tqdw
愛爾達綜合台,https://www.youtube.com/watch?v=yh3ZLBl7kt0
愛爾達綜合台,https://www.youtube.com/watch?v=iOxw4bgNxa4
愛爾達綜合台,https://www.youtube.com/watch?v=6st08Em5RbM
Explore Bears & Bison,https://www.youtube.com/watch?v=3szkFHfr6sA
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0
豬哥會社,https://www.youtube.com/watch?v=htGDPsz2BYI
Kitten Academy,https://www.youtube.com/watch?v=R7vrbiDi0Tc
愛爾達影劇台,https://www.youtube.com/watch?v=be6L9zpVqw4
愛爾達影劇台,https://www.youtube.com/watch?v=FdoVTSTSMho
12K Scenic Relaxation,https://www.youtube.com/watch?v=vQP8AwAFzI8
飢餓遊戲Hunger Games,https://www.youtube.com/watch?v=A98LJq71BZg
華視綜藝頻道,https://www.youtube.com/watch?v=IsFtLpSuf_g
Eight FM,https://www.youtube.com/watch?v=o1ipHJUfFTM
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=hbm8Uov-YOE
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=dZNl1pqkPuA
大陸尋奇,https://www.youtube.com/watch?v=fl1iFkAWcVU
愛爾達綜合台,https://www.youtube.com/watch?v=Vu_eDZF3PXU
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=wJ5i4x9_kEY
台視時光機 ,https://www.youtube.com/watch?v=W1pHB9VGjrw
台視時光機 ,https://www.youtube.com/watch?v=SoXyBzGajJQ
中視經典戲劇,https://www.youtube.com/watch?v=jkF7cseHZ5s
不良林,https://www.youtube.com/watch?v=uSkT4MwpCYA
GTV DRAMA 八大劇樂部,https://www.youtube.com/watch?v=u1uU2AzsD0k
台灣啟示錄,https://www.youtube.com/watch?v=5TRvk38m59M
GTV DRAMA 八大劇樂部,https://www.youtube.com/watch?v=hcxLMIfxi0A
龍華電視,https://www.youtube.com/watch?v=UrBH5NwAAB8
三立華劇 SET Drama,https://www.youtube.com/watch?v=XrLUbJJ3S2M
三立華劇 SET Drama,https://www.youtube.com/watch?v=he_Zx7smZqk
GTV DRAMA 八大劇樂部,https://www.youtube.com/watch?v=mkZRq57c438
Arise News,https://www.youtube.com/watch?v=nvvLD5TNAwQ
國外新聞,#genre#
Arirang TV,https://www.youtube.com/watch?v=CJVBX7KI5nU
CGTN на русском,https://www.youtube.com/watch?v=1L8VpTaLyNs
Channels Television,https://www.youtube.com/watch?v=ENHYOYm-kUE
TVC News Nigeria,https://www.youtube.com/watch?v=OKDXKY3LtAo
Arise News,https://www.youtube.com/watch?v=nvvLD5TNAwQ
CGTN Français,https://www.youtube.com/watch?v=DxhwEQjegYw
LiveNOW from FOX,https://www.youtube.com/watch?v=YDfiTGGPYCk
Eyewitness News ABC7NY,https://www.youtube.com/watch?v=oFOTr81KHLg
ABC13 Houston,https://www.youtube.com/watch?v=6EdywNFYhu8
Sky News,https://www.youtube.com/watch?v=w9uJg68CV4g
ABC7,https://www.youtube.com/watch?v=-E0AHOOGo24
Yahoo Finance,https://www.youtube.com/watch?v=OAHHA27td-A
ABC News,https://www.youtube.com/watch?v=gN0PZCe-kwQ
WISN 12 News,https://www.youtube.com/watch?v=2igPVdN3ERE
Liputan6,https://www.youtube.com/watch?v=AKQmj8YHZ9c
Utonish,https://www.youtube.com/watch?v=Tischs8TNMo
SÖZCÜ Televizyonu,https://www.youtube.com/watch?v=2i8lfP9oqvk
ABC7 SWFL,https://www.youtube.com/watch?v=eXZ4-qp16nI
WION,https://www.youtube.com/watch?v=gadjsB5BkK4
CGTN Europe,https://www.youtube.com/watch?v=Zv60F39Is_c
Crónica TV,https://www.youtube.com/watch?v=avly0uwZzOE
Todo Noticias,https://www.youtube.com/watch?v=cb12KmMMDJA
CNBC Arabia TV,https://www.youtube.com/watch?v=I-qP4xS7vPg
India Today,https://www.youtube.com/watch?v=sYZtOFzM78M
CBN News,https://www.youtube.com/watch?v=CG2XDTgvZPo
Al Jazeera Mubasher قناة الجزيرة مباشر,https://www.youtube.com/watch?v=mJdhDuweBHM
CNBC-TV18,https://www.youtube.com/watch?v=1_Ih0JYmkjI
TalkTV,https://www.youtube.com/watch?v=WguRyzIb4bE
WION,https://www.youtube.com/watch?v=OWmhz00Q5xg
ABC News (Australia),https://www.youtube.com/watch?v=vOTiJkg1voo
CNBC-TV18,https://www.youtube.com/watch?v=P857H4ej-MQ
euronews (en español),https://www.youtube.com/watch?v=O9mOtdZ-nSk
euronews (deutsch),https://www.youtube.com/watch?v=CQ3KsEbsYHs
euronews (στα ελληνικά),https://www.youtube.com/watch?v=uWIhV9gQClg
euronews (magyarul),https://www.youtube.com/watch?v=jAn7L2Kt32U
euronews (in Italiano),https://www.youtube.com/watch?v=pUcmpyynASM
euronews,https://www.youtube.com/watch?v=pykpO5kQJ98
TRT World,https://www.youtube.com/watch?v=5VF4aor94gw
فرانس 24 / FRANCE 24 Arabic,https://www.youtube.com/watch?v=VuYzy8IuT0Y
FRANCE 24 Español,https://www.youtube.com/watch?v=Y-IlMeCCtIg
FRANCE 24 English,https://www.youtube.com/watch?v=tkDUSYHoKxE
FRANCE 24,https://www.youtube.com/watch?v=l8PMl7tUDIE
Bloomberg Television,https://www.youtube.com/watch?v=iyOq8DhaMYw
DZRH News Television,https://www.youtube.com/watch?v=rlOW_ZFwK68
Schwab Network,https://www.youtube.com/watch?v=BWhVz1ozr1o
USA TODAY,https://www.youtube.com/watch?v=vZYMwAm8sso
United Nations,https://www.youtube.com/watch?v=wfAa1GiNdgM
سكاي نيوز عربية,https://www.youtube.com/watch?v=me1fBxx9wJY
KBS WORLD TV,https://www.youtube.com/watch?v=OxQQsIvJTTU
Настоящее Время,https://www.youtube.com/watch?v=t9Ilev-uk4w
euronews (en français),https://www.youtube.com/watch?v=NiRIbKwAejk
Euronews по-русски,https://www.youtube.com/watch?v=lwYzwdBiaho
Above & Beyond,https://www.youtube.com/watch?v=IvuwTft-0cM
ARY News,https://www.youtube.com/watch?v=sUKwTVAc0Vo
【公式】HOME広島ニュース,https://www.youtube.com/watch?v=e2pgLUmaxGs
DW Español,https://www.youtube.com/watch?v=tsStUN73_6I
Hare Krsna TV,https://www.youtube.com/watch?v=RYqewnoTqWQ
FOX Weather,https://www.youtube.com/watch?v=iesPl7zRbVY
Geo News,https://www.youtube.com/watch?v=O3DPVlynUM0
Al Jazeera English,https://www.youtube.com/watch?v=gCNeDWCI0vo
Al Jazeera Mubasher قناة الجزيرة مباشر,https://www.youtube.com/watch?v=8D5QY5gw_Xk
Show TV,https://www.youtube.com/watch?v=XnvS-RZa4Qw
WDW Today,https://www.youtube.com/watch?v=uILxp16tKl8
V6 News Telugu,https://www.youtube.com/watch?v=_xtceKvlVYQ
Ambient Renders,https://www.youtube.com/watch?v=oXvPA6l4pts
Live SupremeMasterTV,https://www.youtube.com/watch?v=ZzWBpGwKoaI
ABC13 Houston,https://www.youtube.com/watch?v=5jPqMDjJKpM
GBNews,https://www.youtube.com/watch?v=8WX6YL9JnLw
Al Jazeera Balkans,https://www.youtube.com/watch?v=y8JcLOL4yiQ
Al Jazeera Mubasher قناة الجزيرة مباشر,https://www.youtube.com/watch?v=eksOMqVMINo
AlJazeera Arabic  قناة الجزيرة,https://www.youtube.com/watch?v=bNyUyrR0PHo
24 Канал онлайн,https://www.youtube.com/watch?v=hns12gYNRq0
ForexLia,https://www.youtube.com/watch?v=Cf9klXhb0G8
CNBC,https://www.youtube.com/watch?v=9NyxcX3rhQs
Mathrubhumi News,https://www.youtube.com/watch?v=YGEgelAiUf0
tvOneNews ,https://www.youtube.com/watch?v=yNKvkPJl-tg
ТСН,https://www.youtube.com/watch?v=7heWRN252pQ
TBS eFM 101.3MHz,https://www.youtube.com/watch?v=i2pC0RRyGMg
mtaOnline1,https://www.youtube.com/watch?v=cu-0mGA8x50
POWERVISION TV,https://www.youtube.com/watch?v=L42NP9a8paw
العربي - أخبار ,https://www.youtube.com/watch?v=e2RgSa1Wt5o
TJK TV,https://www.youtube.com/watch?v=kDvc4MSsnyI
Show TV,https://www.youtube.com/watch?v=Y3vGHFrsqrs
BloombergHT,https://www.youtube.com/watch?v=hHSmBJk6w0c
YTN 사이언스,https://www.youtube.com/watch?v=xfFa_kcPnCY
SODANEチャンネル,https://www.youtube.com/watch?v=kfIQBC0hrII
 YTN,https://www.youtube.com/watch?v=FJfwehhzIhw
Kral Müzik,https://www.youtube.com/watch?v=GuFTuKoXepw
ABC13 Houston,https://www.youtube.com/watch?v=z-VVLWWvAEU
ABC13 Houston,https://www.youtube.com/watch?v=BbILbeRIOs4
CNBC Awaaz.,https://www.youtube.com/watch?v=TD0A7fHAxKw
Bloomberg Quicktake,https://www.youtube.com/watch?v=DxmDPrfinXY
TVL Trzcianka,https://www.youtube.com/watch?v=e2gC37ILQmk
BorderBuddy Customs Brokers,https://www.youtube.com/watch?v=HBDD3j5so0g
Mobotix Webcams Russia,https://www.youtube.com/watch?v=h1wly909BYw
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
mtaOnline1,https://www.youtube.com/watch?v=TEGnBvhnCj0
YTN2,https://www.youtube.com/watch?v=hxBTqmTT5gE
NHK WORLD-JAPAN,https://www.youtube.com/watch?v=f0lYkdA-Gtw
CNN TÜRK,https://www.youtube.com/watch?v=Ue9SnIpwNB4

遊戲直播,#genre#
Sirenia海牛,https://www.youtube.com/watch?v=JWucJeLwsPE
FCG RJay,https://www.youtube.com/watch?v=KDSMQZb9POo
Tabasuko Ch. 塔芭絲可,https://www.youtube.com/watch?v=CudNFv0UlTg
TenZ,https://www.youtube.com/watch?v=NmZK6B21XJY
武藤遊戲,https://www.youtube.com/watch?v=XqBnxmOTVNs
雷卡莉塔.Rekarita_ch,https://www.youtube.com/watch?v=5sLqqLf8wU0
柚子狸,https://www.youtube.com/watch?v=hrhsPgIzSR0
薇恩‧黛娜Venom Dinah,https://www.youtube.com/watch?v=6FndaUgCJas
DS 低欸死,https://www.youtube.com/watch?v=4QJJhYhKmPY
AKA王以太,https://www.youtube.com/watch?v=rhFHkWrQhxY
打野哥,https://www.youtube.com/watch?v=ZjVTwZ_IxzM
Jurard T Rexford Ch. HOLOSTARS-EN,https://www.youtube.com/watch?v=yOF3rWgpmJY
雜魚直播主-小宇,https://www.youtube.com/watch?v=66LA_sllUUc
AfreecaTV eSports,https://www.youtube.com/watch?v=r5SE70sYCVk
兔兔宅子,https://www.youtube.com/watch?v=I3EjwQWYLlM
阿草,https://www.youtube.com/watch?v=8ErpUOPpm2o
猫汰つな / Nekota Tsuna,https://www.youtube.com/watch?v=LUQFp-vtuaA
洨叻,https://www.youtube.com/watch?v=vfDU8U2EIEQ
初吻Kiss,https://www.youtube.com/watch?v=gWA2oZpbDWU
期末專題,https://www.youtube.com/watch?v=dAmhhREn7Cs
LCK CL,https://www.youtube.com/watch?v=oYLvoPEXAss
元,https://www.youtube.com/watch?v=Uk1jrgWzbV8
Aster Arcadia 【NIJISANJI EN】,https://www.youtube.com/watch?v=NykGutRJJWA
Maria Marionette 【NIJISANJI EN】,https://www.youtube.com/watch?v=dTTLVTaY-Io
Nihilastra Gaming,https://www.youtube.com/watch?v=WurMu-2aBso
舞秋風遊戲頻道,https://www.youtube.com/watch?v=mb90x97ajd4
兎咲ミミ / Tosaki Mimi,https://www.youtube.com/watch?v=BlCDEBH45aM
雪爾森,https://www.youtube.com/watch?v=FeT-OdMIjk8
宅飛,https://www.youtube.com/watch?v=nHCG6vaof9M
SQUARE ENIX MUSIC Channel,https://www.youtube.com/watch?v=6KsScSZlAkM
PFY玩給你看,https://www.youtube.com/watch?v=2EBe49EoU4s
Scarle Yonaguni 【NIJISANJI EN】,https://www.youtube.com/watch?v=LsNXmA0_WWs
高冷無,https://www.youtube.com/watch?v=_wyb_Gk4n5o
虎屋レイ_Toraya Rei ch.,https://www.youtube.com/watch?v=Ige-Q9Lcxck
庫路路 / Kururun  Ch.,https://www.youtube.com/watch?v=CCX3AdI_Ywo
飛常天真,https://www.youtube.com/watch?v=msV0Byiu_5U
GKT_CLOUD,https://www.youtube.com/watch?v=juCu1Ztx0Aw
多佛朗MING哥,https://www.youtube.com/watch?v=vJoda-VbvMw
黑薔薇優璃愛【Stu. Huayu】,https://www.youtube.com/watch?v=3358tqPmpR0
肯倫 KinLun ,https://www.youtube.com/watch?v=Jbq2Pux5s4Q
冬瓜,https://www.youtube.com/watch?v=VHGuRkYTSQ4
喵哥實況,https://www.youtube.com/watch?v=-W6pTBayJq8
緋月ゆい / Hizuki Yui,https://www.youtube.com/watch?v=2bRdgrN6dIs
Ande 安爹 Ch.,https://www.youtube.com/watch?v=GhIiGYfau7s
ニュイ・ソシエール //[Nui Sociere],https://www.youtube.com/watch?v=Jp81ToR2Uu0
Rata ch.拉莉拉塔,https://www.youtube.com/watch?v=ZyA9yfNswhM
魷魷已損壞,https://www.youtube.com/watch?v=xVn24TuHR7c
心情喵,https://www.youtube.com/watch?v=hTFnLnD4NJA
KyoStinV,https://www.youtube.com/watch?v=cjUqKJGTvts
JeiPee TV,https://www.youtube.com/watch?v=KdQ9D-SAdW8
老獅,https://www.youtube.com/watch?v=scBYyBW6654
鴨鴨山 ch.,https://www.youtube.com/watch?v=JxwO3M9sg5A
Los-muteki 像素美術實驗室,https://www.youtube.com/watch?v=LF2dvwI3yuU
MAYU_ ch.麻由要子,https://www.youtube.com/watch?v=8KjoCFBtsco
咖蛋末日求生者,https://www.youtube.com/watch?v=Q2TaylpPTTY
野生的淡水人,https://www.youtube.com/watch?v=Dz-rvBwGaOg
夜絆ニウ / yozuna niu,https://www.youtube.com/watch?v=e5VtbF24hOI
Rubio路比歐,https://www.youtube.com/watch?v=4CFLt0QetqY
夜貓,https://www.youtube.com/watch?v=RlUCFACDDSw
Himusan Gaming,https://www.youtube.com/watch?v=e2S6q7JntnQ
Kohaku Ch.羽奏 こはく,https://www.youtube.com/watch?v=9ZgDo0iRAys
ivan kamil,https://www.youtube.com/watch?v=1EYNydDsKWI
아지 Azhy,https://www.youtube.com/watch?v=brUdGHo8jXI
Rosemae creation vlogs,https://www.youtube.com/watch?v=TuEYfxrGr-Q
石川Yaya,https://www.youtube.com/watch?v=-uGWvD-ES78
小沢Ozawa,https://www.youtube.com/watch?v=bZXVep_WsAo
Relive_魯波 Lupo,https://www.youtube.com/watch?v=r-soiVrvmLo
이렐킹 IRELKING,https://www.youtube.com/watch?v=Tg5NKwl_p_I
GipsoCartoon,https://www.youtube.com/watch?v=BiIG71H2zlo
從APEX歸來的Dasa Ch.,https://www.youtube.com/watch?v=u52_tRvJPJg
諾頓家族獸迷頻道,https://www.youtube.com/watch?v=8FuUeVeq-Bk
黒月夜桜 / Yozakura Kurotsuki,https://www.youtube.com/watch?v=MU2v9Ul06S0
Shitora ch. 涼風しとら,https://www.youtube.com/watch?v=28SXoR0t2uY
ZLANER,https://www.youtube.com/watch?v=XSDnB8LwcIM
Lucky Hop,https://www.youtube.com/watch?v=qrLlpjB0e-c
Sciel,https://www.youtube.com/watch?v=zf7w09ub6ts
25thNight,https://www.youtube.com/watch?v=Pqfc_COOM4s
MooMooCows MooTuber,https://www.youtube.com/watch?v=MdIJkvhh_E4
GipsoCartoon,https://www.youtube.com/watch?v=1dxs4GVo8SA
大雄NOBITA,https://www.youtube.com/watch?v=C4Sk3uCwHaY
Lio Ch.獅堂リオ,https://www.youtube.com/watch?v=t9nWdapxsKw
ゴンゾー,https://www.youtube.com/watch?v=bg5QUpYO4Qo
倉持めると / Kuramochi Meruto【にじさんじ】,https://www.youtube.com/watch?v=tt75MC27bbc
瀬乃ここは -Seno Kokoha Ch.-,https://www.youtube.com/watch?v=htlGyf5hXIo
Hikari Channel / 飛良ひかり 【ななしいんく】,https://www.youtube.com/watch?v=UUBk-N64ApM
絲依とい / Itoi Toi,https://www.youtube.com/watch?v=-2YZ33sHg7M
Saksi Bisu,https://www.youtube.com/watch?v=DRnZbvoYCQQ
Snax Gaming,https://www.youtube.com/watch?v=Dz9cOA6hTMQ
Gw Shooter Live,https://www.youtube.com/watch?v=b43j5IV54Gk
BeamNG Railways,https://www.youtube.com/watch?v=4BE5GJH_QS8
Rory Alexander,https://www.youtube.com/watch?v=gESjrHVSqM0
Box2,https://www.youtube.com/watch?v=4R8e3L6tTBA
超級歐洲人,https://www.youtube.com/watch?v=ReTRhhp1oWg
居藍GBlue,https://www.youtube.com/watch?v=gjLjxxE1Z_U
橙米 ChengMi Ch.,https://www.youtube.com/watch?v=ZiRwvVK6Un8
白樺るるは,https://www.youtube.com/watch?v=huXlTuz_Bio
リグゼ,https://www.youtube.com/watch?v=8WSLNM6cYIA
Thiên Khôi AoE,https://www.youtube.com/watch?v=nVGcPDkbOdI
姫月もものブルアカ攻略ch,https://www.youtube.com/watch?v=809YPUTNjxs
Tonde Gamer,https://www.youtube.com/watch?v=I10szppx2nk
運動直播,#genre#
BL Football Talks,https://www.youtube.com/watch?v=y8JrY39TumU
World Table Tennis,https://www.youtube.com/watch?v=o-W0zQb6CPM
World Table Tennis,https://www.youtube.com/watch?v=nMhCWzxuk_E
World Table Tennis,https://www.youtube.com/watch?v=clMjAqoWD1E
World Table Tennis,https://www.youtube.com/watch?v=SHayuVJ_xQ0
World Table Tennis,https://www.youtube.com/watch?v=ZWyaNYOsJTc
FIBA - The Basketball Channel,https://www.youtube.com/watch?v=bjK7e_jr1Kg
Badminton Europe,https://www.youtube.com/watch?v=IJoAjzIn9Pg
talkSPORT,https://www.youtube.com/watch?v=Znl5WWsGtnQ
Badminton Europe,https://www.youtube.com/watch?v=EgJ-lEC32CM
Chelsea Football Club,https://www.youtube.com/watch?v=InSpsvtlS6w
SBS Golf,https://www.youtube.com/watch?v=KtGL4zPTGxs
World Table Tennis,https://www.youtube.com/watch?v=jP8ZrtLRqAU
Trực Tiếp Bóng Chuyền,https://www.youtube.com/watch?v=7YVNBpa3flY
이스타TV,https://www.youtube.com/watch?v=VcKR5elIhUo
Mê Bóng Chuyền,https://www.youtube.com/watch?v=kZojzkRvvDw
TRIBUN BALI,https://www.youtube.com/watch?v=aJ8Uiv0tD5E
Gilar Wahyu,https://www.youtube.com/watch?v=ls5JHSifuVI
A Spor,https://www.youtube.com/watch?v=2iW-OI5_fEY
United View,https://www.youtube.com/watch?v=3LuY0cOVDQo
이현우의 MLBTV,https://www.youtube.com/watch?v=d4XF8CY_T0g
Locked On Sports Today,https://www.youtube.com/watch?v=LOBZMXKK4vE
JTBC Entertainment,https://www.youtube.com/watch?v=CSdm4ebdcCE
NCAA Philippines,https://www.youtube.com/watch?v=12BgdTXlYUU
베이스볼 런치 : 브런치,https://www.youtube.com/watch?v=LKVzQDCxkws
QSVS - Qui Studio a Voi Stadio - TELELOMBARDIA,https://www.youtube.com/watch?v=V1CCAvFCLBU
Collingwood Football Club,https://www.youtube.com/watch?v=RwPYlOxjtSI
Bóng Chuyền 247,https://www.youtube.com/watch?v=-1qPOLvNTlA
Badminton Europe,https://www.youtube.com/watch?v=Vp8CZiBTmM4
TJK TV,https://www.youtube.com/watch?v=kDvc4MSsnyI
Gazeta Sporturilor,https://www.youtube.com/watch?v=9tIw4XeQgjs
바둑TV BADUK TV,https://www.youtube.com/watch?v=hn6wItI6Zvw
Bóng Đá Số HD,https://www.youtube.com/watch?v=JG6SxnWvWbw
beIN SPORTS Türkiye,https://www.youtube.com/watch?v=OypUpUTYAHI
Doaba Tv,https://www.youtube.com/watch?v=2j4qXYKK3QQ
UNTV News and Rescue,https://www.youtube.com/watch?v=bK_9I_v1KT8
BÓNG ĐÁ HÔM NAY,https://www.youtube.com/watch?v=CIoKN9h32qw
cricket.com.au,https://www.youtube.com/watch?v=CeAgx48qQ3M
BRAVE Combat Federation,https://www.youtube.com/watch?v=Ti6LTg99nIA
Sân Cỏ Việt Nam,https://www.youtube.com/watch?v=EkgIjZMITew
Przegląd Sportowy,https://www.youtube.com/watch?v=WKn9STpiJuw
Livestream highlights football,https://www.youtube.com/watch?v=SfcI0ZhTV6k
Sports TV,https://www.youtube.com/watch?v=tYEUnnKSzwA
스포츠마니아TV,https://www.youtube.com/watch?v=vsLBsf4-NrE
스포츠니어스,https://www.youtube.com/watch?v=wG03Mj31EC4
SIÊU THỊ BÓNG ĐÁ LIVE,https://www.youtube.com/watch?v=8NjTKugy_K0
Vietnam Billiards Promotion Official,https://www.youtube.com/watch?v=IA_jKshyU2o
24 LIVE EVENT🎥,https://www.youtube.com/watch?v=TON_NNxzbt8
Expresso Tricolor,https://www.youtube.com/watch?v=Nu8680zVzJA
VIETNAM FOOTBALL TV,https://www.youtube.com/watch?v=nnd1rc3I3Fw
Locked On Sports Atlanta,https://www.youtube.com/watch?v=Xv-rLUKyzfo
Best Football,https://www.youtube.com/watch?v=9L3k70MJPqw
GMA Sports PH,https://www.youtube.com/watch?v=GvoCbH4omsc
TẠP HÓA BÓNG ĐÁ LIVE,https://www.youtube.com/watch?v=C3gipz5WC10
Locked On Thunder,https://www.youtube.com/watch?v=g2BxOhqvpqY
Cuồng Bóng Đá,https://www.youtube.com/watch?v=cIuW3mXeavg
Sports9,https://www.youtube.com/watch?v=ivd5mq2HonE
World Chase Tag,https://www.youtube.com/watch?v=UaI4f7btGuM
HT Football,https://www.youtube.com/watch?v=spiuqxQ-Fgk
Ăn Ngủ Cùng Bóng Đá,https://www.youtube.com/watch?v=DGS_PBnj2Go
TOP Bóng Đá ,https://www.youtube.com/watch?v=Fm-dfzbVo28
正在直播,#genre#
三立LIVE新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY
Muse木棉花-闔家歡,https://www.youtube.com/watch?v=UK81GCw1KE8
Lofi Girl,https://www.youtube.com/watch?v=jfKfPfyJRdk
中天電視,https://www.youtube.com/watch?v=oIgbl7t0S_w
Kaela Kovalskia Ch. hololive-ID,https://www.youtube.com/watch?v=Bbd9ZotOWok
台視新聞 TTV NEWS,https://www.youtube.com/watch?v=xL0ch83RAK8
Muse木棉花-闔家歡,https://www.youtube.com/watch?v=2FJcu6qsM2k
Thai Relax,https://www.youtube.com/watch?v=GCXbKdVCwlg
PokerGO,https://www.youtube.com/watch?v=xRvDxesFEac
民視新聞網 Formosa TV News network,https://www.youtube.com/watch?v=ylYJSBUgaMA
Relaxed Mind,https://www.youtube.com/watch?v=vpCdR_L8kKk
TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=bn7glmBPmIQ
Timeless Music,https://www.youtube.com/watch?v=ZxluW--lZpk
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=oV_i3Hsl_zg
中天深喉嚨,https://www.youtube.com/watch?v=WPfPjbOLNfE
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=298QROP4xe0
On Rainy Days,https://www.youtube.com/watch?v=Gn5VjWlu8vs
Soft Calm Music,https://www.youtube.com/watch?v=tJ_ODGkvyEE
中視新聞 HD直播頻道｜Taiwan CTV news HD Live,https://www.youtube.com/watch?v=TCnaIE_SAtM
飢餓遊戲Hunger Games,https://www.youtube.com/watch?v=3xe-R00ijC4
Sleepy Cat ,https://www.youtube.com/watch?v=YLMhjMUx__M
台灣啟示錄,https://www.youtube.com/watch?v=YKor8d0UK7c
The Good Life Radio x Sensual Musique,https://www.youtube.com/watch?v=36YnV9STBqc
大愛電視 Tzu Chi DaAiVideo,https://www.youtube.com/watch?v=MIqUplvSRWA
57東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw
民視戲劇館 Formosa TV Dramas,https://www.youtube.com/watch?v=1kzVPwTeKds
Tim Janis,https://www.youtube.com/watch?v=dXIyMS61B68
大陸尋奇,https://www.youtube.com/watch?v=pLxy7SRblyw
豬哥會社,https://www.youtube.com/watch?v=htGDPsz2BYI
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI
華視新聞 CH52,https://www.youtube.com/watch?v=wM0g8EoUZ_E
Open Heart Music - Helios 4K,https://www.youtube.com/watch?v=TAhHaHsDTkk
57東森財經新聞,https://www.youtube.com/watch?v=LbS-xQ67fos
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
Relaxing Jazz BGM,https://www.youtube.com/watch?v=prIbo7VQmH0
martin oei,https://www.youtube.com/watch?v=DUNzB2euyqg
公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8
中視經典綜藝,https://www.youtube.com/watch?v=r_wsMgFLKys
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
